Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Namibia,SUB-SAHARAN AFRICA                 ,2044147,825418,2.50,0.19,0.00,48.98,7200,84.00,62.60,0.99,0.00,99.01,1.00,24.32,18.86,0.10,0.32,0.59
Nauru,OCEANIA                            ,13287,21,632.70,142.86,0.00,9.95,5000,,143.00,0.00,0.00,100.00,2.00,24.76,6.70,,,
Nepal,ASIA (EX. NEAR EAST)         ,28287147,147181,192.20,0.00,0.00,66.98,1400,45.20,15.90,21.68,0.64,77.68,,30.98,9.31,0.38,0.21,0.41
Netherlands,WESTERN EUROPE                     ,16491461,41526,397.10,1.09,2.91,5.04,28600,99.00,460.80,26.71,0.97,72.32,3.00,10.90,8.68,0.02,0.24,0.74
Netherlands Antilles,LATIN AMER. & CARIB    ,221736,960,231.00,37.92,-0.41,10.03,11400,96.70,365.30,10.00,0.00,90.00,2.00,14.78,6.45,0.01,0.15,0.84
New Caledonia,OCEANIA                            ,219246,19060,11.50,11.83,0.00,7.72,15000,91.00,252.20,0.38,0.33,99.29,2.00,18.11,5.69,0.15,0.09,0.76
New Zealand,OCEANIA                            ,4076140,268680,15.20,5.63,4.05,5.85,21600,99.00,441.70,5.60,6.99,87.41,3.00,13.76,7.53,0.04,0.27,0.68
Nicaragua,LATIN AMER. & CARIB    ,5570129,129494,43.00,0.70,-1.22,29.11,2300,67.50,39.70,15.94,1.94,82.12,2.00,24.51,4.45,0.17,0.28,0.56
Niger,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.90,0.00,-0.67,121.69,800,17.60,1.90,3.54,0.01,96.45,1.00,50.73,20.91,0.39,0.17,0.44
Nigeria,SUB-SAHARAN AFRICA                 ,131859731,923768,142.70,0.09,0.26,98.80,900,68.00,9.30,31.29,2.96,65.75,1.50,40.43,16.94,0.27,0.49,0.24
N. Mariana Islands,OCEANIA                            ,82459,477,172.90,310.69,9.61,7.11,12500,97.00,254.70,13.04,4.35,82.61,2.00,19.43,2.29,,,
Norway,WESTERN EUROPE                     ,4610820,323802,14.20,7.77,1.74,3.70,37800,100.00,461.70,2.87,0.00,97.13,3.00,11.46,9.40,0.02,0.42,0.56
Oman,NEAR EAST                          ,3102229,212460,14.60,0.98,0.28,19.51,13100,75.80,85.50,0.00,0.14,99.74,1.00,36.24,3.81,0.03,0.39,0.58
Pakistan,ASIA (EX. NEAR EAST)         ,165803560,803940,206.20,0.13,-2.77,72.44,2100,45.70,31.80,27.87,0.87,71.26,1.00,29.74,8.23,0.22,0.25,0.53
Palau,OCEANIA                            ,20579,458,44.90,331.66,2.85,14.84,9000,92.00,325.60,8.70,4.35,86.95,2.00,18.03,6.80,0.06,0.12,0.82
Panama,LATIN AMER. & CARIB    ,3191319,78200,40.80,3.18,-0.91,20.47,6300,92.60,137.90,7.36,1.98,90.66,2.00,21.74,5.36,0.07,0.16,0.78
Papua New Guinea,OCEANIA                            ,5670544,462840,12.30,1.11,0.00,51.45,2200,64.60,10.90,0.46,1.44,98.10,2.00,29.36,7.25,0.35,0.38,0.27
Paraguay,LATIN AMER. & CARIB    ,6506464,406750,16.00,0.00,-0.08,25.63,4700,94.00,49.20,7.60,0.23,92.17,2.00,29.10,4.49,0.22,0.21,0.57
Peru,LATIN AMER. & CARIB    ,28302603,1285220,22.00,0.19,-1.05,31.94,5100,90.90,79.50,2.89,0.40,96.71,1.50,20.48,6.23,0.08,0.27,0.65
Philippines,ASIA (EX. NEAR EAST)         ,89468677,300000,298.20,12.10,-1.50,23.51,4600,92.60,38.40,18.95,16.77,64.28,2.00,24.89,5.41,0.14,0.33,0.53
Poland,EASTERN EUROPE                     ,38536869,312685,123.30,0.16,-0.49,8.51,11100,99.80,306.30,45.91,1.12,52.97,3.00,9.85,9.89,0.05,0.31,0.64
Portugal,WESTERN EUROPE                     ,10605870,92391,114.80,1.94,3.57,5.05,18000,93.30,399.20,21.75,7.81,70.44,3.00,10.72,10.50,0.05,0.27,0.67
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,284.80,3.63,-1.46,8.24,16800,94.10,283.10,3.95,5.52,90.53,2.00,12.77,7.65,0.01,0.45,0.54
Qatar,NEAR EAST                          ,885359,11437,77.40,4.92,16.29,18.61,21500,82.50,232.00,1.64,0.27,98.09,1.00,15.56,4.72,0.00,0.80,0.20
Reunion,SUB-SAHARAN AFRICA                 ,787584,2517,312.90,8.22,0.00,7.78,5800,88.90,380.90,13.60,1.20,85.20,2.00,18.90,5.49,0.08,0.19,0.73
Romania,EASTERN EUROPE                     ,22303552,237500,93.90,0.09,-0.13,26.43,7000,98.40,196.90,40.82,2.25,56.93,3.00,10.70,11.77,0.10,0.35,0.55
Russia,C.W. OF IND. STATES ,142893540,17075200,8.40,0.22,1.02,15.39,8900,99.60,280.60,7.33,0.11,92.56,,9.95,14.65,0.05,0.37,0.58
Rwanda,SUB-SAHARAN AFRICA                 ,8648248,26338,328.40,0.00,0.00,91.23,1300,70.40,2.70,40.54,12.16,47.30,3.00,40.37,16.09,0.40,0.23,0.37
Saint Helena,SUB-SAHARAN AFRICA                 ,7502,413,18.20,14.53,0.00,19.00,2500,97.00,293.30,12.90,0.00,87.10,,12.13,6.53,,,
Saint Kitts and Nevis,LATIN AMER. & CARIB    ,39129,261,149.90,51.72,-7.11,14.49,8800,97.00,638.90,19.44,2.78,77.78,2.00,18.02,8.33,0.04,0.26,0.71
Saint Lucia,LATIN AMER. & CARIB    ,168458,616,273.50,25.65,-2.67,13.53,5400,67.00,303.30,6.56,22.95,70.49,2.00,19.68,5.08,0.07,0.20,0.73
St Pierre and Miquelon,NORTHERN AMERICA                   ,7026,242,29.00,49.59,-4.86,7.54,6900,99.00,683.20,13.04,0.00,86.96,,13.52,6.83,,,
Saint Vincent and the Grenadines,LATIN AMER. & CARIB    ,117848,389,303.00,21.59,-7.64,14.78,2900,96.00,190.90,17.95,17.95,64.10,2.00,16.18,5.98,0.10,0.26,0.64
Samoa,OCEANIA                            ,176908,2944,60.10,13.69,-11.70,27.71,5600,99.70,75.20,21.20,24.38,54.42,2.00,16.43,6.62,0.11,0.58,0.30
San Marino,WESTERN EUROPE                     ,29251,61,479.50,0.00,10.98,5.73,34600,96.00,704.30,16.67,0.00,83.33,,10.02,8.17,,,
Sao Tome and Principe,SUB-SAHARAN AFRICA                 ,193413,1001,193.20,20.88,-2.72,43.11,1200,79.30,36.20,6.25,48.96,44.79,2.00,40.25,6.47,0.17,0.15,0.68
Saudi Arabia,NEAR EAST                          ,27019731,1960582,13.80,0.13,-2.71,13.24,11800,78.80,140.60,1.67,0.09,98.24,1.00,29.34,2.58,0.03,0.61,0.35
Senegal,SUB-SAHARAN AFRICA                 ,11987121,196190,61.10,0.27,0.20,55.51,1600,40.20,22.20,12.78,0.21,87.01,2.00,32.78,9.42,0.17,0.21,0.62
Serbia,EASTERN EUROPE                     ,9396411,88361,106.30,0.00,-1.33,12.89,2200,93.00,285.80,33.35,3.20,63.45,,,,0.17,0.26,0.58
Seychelles,SUB-SAHARAN AFRICA                 ,81541,455,179.20,107.91,-5.69,15.53,7800,58.00,262.40,2.22,13.33,84.45,2.00,16.03,6.29,0.03,0.30,0.67
Sierra Leone,SUB-SAHARAN AFRICA                 ,6005250,71740,83.70,0.56,0.00,143.64,500,31.40,4.00,6.98,0.89,92.13,2.00,45.76,23.03,0.49,0.31,0.21
Singapore,ASIA (EX. NEAR EAST)         ,4492150,693,6482.20,27.85,11.53,2.29,23700,92.50,411.40,1.64,0.00,98.36,2.00,9.34,4.28,0.00,0.34,0.66
Slovakia,EASTERN EUROPE                     ,5439448,48845,111.40,0.00,0.30,7.41,13300,,220.10,30.16,2.62,67.22,3.00,10.65,9.45,0.04,0.29,0.67
Slovenia,EASTERN EUROPE                     ,2010347,20273,99.20,0.23,1.12,4.45,19000,99.70,406.10,8.60,1.49,89.91,,8.98,10.31,0.03,0.37,0.60
Solomon Islands,OCEANIA                            ,552438,28450,19.40,18.67,0.00,21.29,1700,,13.40,0.64,2.00,97.36,2.00,30.01,3.92,0.42,0.11,0.47
Somalia,SUB-SAHARAN AFRICA                 ,8863338,637657,13.90,0.47,5.37,116.70,500,37.80,11.30,1.67,0.04,98.29,1.00,45.13,16.63,0.65,0.10,0.25
South Africa,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.20,0.23,-0.29,61.81,10700,86.40,107.00,12.08,0.79,87.13,1.00,18.20,22.00,0.03,0.30,0.67
Spain,WESTERN EUROPE                     ,40397842,504782,80.00,0.98,0.99,4.42,22000,97.90,453.50,26.07,9.87,64.06,3.00,10.06,9.72,0.04,0.30,0.67
Sri Lanka,ASIA (EX. NEAR EAST)         ,20222240,65610,308.20,2.04,-1.31,14.35,3700,92.30,61.50,13.86,15.70,70.44,2.00,15.51,6.52,0.18,0.28,0.55
